complaint_number,title,category,priority,status,agent_name,created_at,sla_deadline,resolved_at
CMP-00197,Order #93769 delayed by 7 days,Delivery Delays,Low,Resolved,Agent_C,2024-07-06 10:00:00,2024-07-09 10:00:00,2024-07-07 01:00:00
CMP-00198,Defective keyboard received in last order,Product Defects,Medium,In Progress,Agent_C,2024-12-10 22:00:00,2024-12-12 22:00:00,
CMP-00199,Service outage in my area since last week,Service Disruption,Medium,Open,,2024-07-17 13:00:00,2024-07-19 13:00:00,
CMP-00200,Service outage in my area since last week,Service Disruption,Medium,In Progress,Agent_C,2024-04-05 10:00:00,2024-04-07 10:00:00,
CMP-00201,Order #20835 delayed by 11 days,DELIVERY DELAYS,Medium,In Progress,Agent_H,2024-07-31 22:00:00,2024-08-02 22:00:00,
CMP-00202,Defective keyboard received in last order,Product Defects,Medium,Assigned,Agent_H,2024-10-16 23:00:00,2024-10-18 23:00:00,
CMP-00203,Defective router received in last order,Product Defects,Medium,Resolved,Agent_H,2024-10-06 06:00:00,2024-10-08 06:00:00,2024-10-08 20:00:00
CMP-00204,Incorrect charge of ₹7515 on my invoice,Billing Issues,High,Assigned,Agent_F,2024-12-29 19:00:00,2024-12-30 19:00:00,
CMP-00205,Defective router received in last order,Product Defects,Medium,Escalated,Agent_C,2024-06-14 22:00:00,2024-06-16 22:00:00,
CMP-00206,Service outage in my area since last week,Service Disruption,Critical,Resolved,Agent_A,2024-05-21 20:00:00,2024-05-22 00:00:00,2024-05-21 22:00:00
CMP-00207,Cannot login to my account,Account Issues,Medium,In Progress,Agent_H,2024-02-08 20:00:00,2024-02-10 20:00:00,
CMP-00208,Defective laptop received in last order,Product Defects,Medium,Resolved,Agent_B,2025-01-09 14:00:00,2025-01-11 14:00:00,2025-01-11 11:00:00
CMP-00209,Defective laptop received in last order,Product Defects,High,In Progress,Agent_C,2024-10-16 15:00:00,2024-10-17 15:00:00,
CMP-00210,Poor response from support team,Customer Service,Low,In Progress,Agent_G,2024-04-13 22:00:00,2024-04-16 22:00:00,
CMP-00211,Cannot login to my account,Account Issues,Low,In Progress,Agent_E,2025-01-06 22:00:00,2025-01-09 22:00:00,
CMP-00212,Order #72613 delayed by 3 days,Delivery Delays,High,Open,,2024-12-22 10:00:00,2024-12-23 10:00:00,
CMP-00213,Incorrect charge of ₹2840 on my invoice,Billing Issues,Medium,Resolved,Agent_C,2024-07-14 04:00:00,2024-07-16 04:00:00,2024-07-16 00:00:00
CMP-00214,Service outage in my area since last week,Service Disruption,High,Assigned,Agent_G,2024-11-11 21:00:00,2024-11-12 21:00:00,
CMP-00215,App keeps crashing when I try to download,Technical Problems,Medium,Open,,2024-05-21 20:00:00,2024-05-23 20:00:00,
CMP-00216,Incorrect charge of ₹6918 on my invoice,Billing Issues,High,Resolved,Agent_E,2024-04-15 16:00:00,2024-04-16 16:00:00,2024-04-15 23:00:00
CMP-00217,Incorrect charge of ₹7395 on my invoice,Billing Issues,Medium,Closed,Agent_F,2024-06-11 04:00:00,2024-06-13 04:00:00,2024-06-12 17:00:00
CMP-00218,Incorrect charge of ₹1490 on my invoice,Billing Issues,Medium,Open,,2024-04-20 01:00:00,2024-04-22 01:00:00,
CMP-00219,App keeps crashing when I try to download,Technical Problems,Low,Pending Customer Response,Agent_C,2024-05-22 02:00:00,2024-05-25 02:00:00,
CMP-00220,Poor response from support team,Customer Service,High,Resolved,Agent_B,2024-06-07 22:00:00,2024-06-08 22:00:00,2024-06-08 06:00:00
CMP-00221,Cannot login to my account,Account Issues,High,Assigned,Agent_A,2024-12-28 04:00:00,2024-12-29 04:00:00,
CMP-00222,Defective monitor received in last order,Product Defects,Low,Resolved,Agent_E,2025-01-10 03:00:00,2025-01-13 03:00:00,2025-01-13 07:00:00
CMP-00223,App keeps crashing when I try to upload,Technical Problems,Medium,In Progress,Agent_H,2024-10-17 05:00:00,2024-10-19 05:00:00,
CMP-00224,Incorrect charge of ₹3432 on my invoice,Billing Issues,Low,Resolved,Agent_D,2024-01-24 15:00:00,2024-01-27 15:00:00,2024-01-25 11:00:00
CMP-00225,Defective laptop received in last order,Product Defects,Medium,Open,,2024-07-09 03:00:00,2024-07-11 03:00:00,
CMP-00226,App keeps crashing when I try to upload,Technical Problems,High,Resolved,Agent_E,2024-06-16 02:00:00,2024-06-17 02:00:00,2024-06-16 03:00:00
CMP-00227,Order #13133 delayed by 5 days,Delivery Delays,Critical,Closed,Agent_D,2025-01-10 17:00:00,2025-01-10 21:00:00,2025-01-12 05:00:00
CMP-00228,Incorrect charge of ₹5538 on my invoice,Billing Issues,Critical,Open,,2024-12-02 12:00:00,2024-12-02 16:00:00,
CMP-00229,Service outage in my area since last week,Service Disruption,High,Open,,2024-04-28 16:00:00,2024-04-29 16:00:00,
CMP-00230,Incorrect charge of ₹4379 on my invoice,Billing Issues,Medium,Open,,2024-12-05 04:00:00,2024-12-07 04:00:00,
CMP-00231,App keeps crashing when I try to pay,Technical Problems,Medium,Open,,2024-04-13 04:00:00,2024-04-15 04:00:00,
CMP-00232,Poor response from support team,Customer Service,Medium,In Progress,Agent_E,2024-03-02 02:00:00,2024-03-04 02:00:00,
CMP-00233,Service outage in my area since last week,Service Disruption,Critical,In Progress,Agent_A,2024-12-12 09:00:00,2024-12-12 13:00:00,
CMP-00234,App keeps crashing when I try to share,Technical Problems,Low,Resolved,Agent_B,2024-01-07 01:00:00,2024-01-10 01:00:00,2024-01-11 06:00:00
CMP-00235,Defective headphones received in last order,Product Defects,Critical,Open,,2024-02-03 06:00:00,2024-02-03 10:00:00,
CMP-00236,Order #46042 delayed by 6 days,Delivery Delays,Medium,Resolved,Agent_H,2024-01-16 12:00:00,2024-01-18 12:00:00,2024-01-19 11:00:00
CMP-00237,Order #60202 delayed by 4 days,Delivery Delays,Medium,Assigned,Agent_G,2024-10-08 15:00:00,2024-10-10 15:00:00,
CMP-00238,Service outage in my area since last week,Service Disruption,High,Resolved,Agent_A,2024-07-14 22:00:00,2024-07-15 22:00:00,2024-07-15 16:00:00
CMP-00239,Service outage in my area since last week,Service Disruption,Low,Resolved,Agent_E,2024-01-30 15:00:00,2024-02-02 15:00:00,2024-01-31 21:00:00
CMP-00240,Incorrect charge of ₹5710 on my invoice,Billing Issues,High,Closed,Agent_G,2024-06-30 05:00:00,2024-07-01 05:00:00,2024-07-01 00:00:00
CMP-00241,Order #88861 delayed by 5 days,DELIVERY DELAYS,Critical,Resolved,Agent_H,2024-10-04 09:00:00,2024-10-04 13:00:00,2024-10-04 10:00:00
CMP-00242,Order #29360 delayed by 11 days,Delivery Delays,Medium,Open,,2025-01-02 05:00:00,2025-01-04 05:00:00,
CMP-00243,Order #27884 delayed by 4 days,Delivery Delays,High,Closed,Agent_F,2024-12-26 21:00:00,2024-12-27 21:00:00,2024-12-27 01:00:00
CMP-00244,App keeps crashing when I try to upload,Technical Problems,,Assigned,Agent_F,2024-04-24 21:00:00,2024-04-25 21:00:00,
CMP-00245,Order #75035 delayed by 4 days,Delivery Delays,Medium,Closed,Agent_A,2024-04-03 19:00:00,2024-04-05 19:00:00,2024-04-05 11:00:00
CMP-00246,Defective laptop received in last order,Product Defects,Low,Resolved,Agent_B,2024-12-28 21:00:00,2024-12-31 21:00:00,2024-12-30 16:00:00
CMP-00247,Cannot login to my account,Account Issues,Low,In Progress,Agent_G,2024-03-26 13:00:00,2024-03-29 13:00:00,
CMP-00248,Cannot login to my account,Account Issues,High,Assigned,Agent_H,2024-02-07 01:00:00,2024-02-08 01:00:00,
CMP-00249,Cannot login to my account,Account Issues,Low,Closed,Agent_B,2024-06-22 19:00:00,2024-06-25 19:00:00,2024-06-28 09:00:00
CMP-00250,Service outage in my area since last week,Service Disruption,Medium,Escalated,Agent_E,2024-12-04 09:00:00,2024-12-06 09:00:00,
CMP-00001,Cannot login to my account,ACCOUNT ISSUES,Low,Resolved,Agent_D,2024-04-24 04:00:00,2024-04-27 04:00:00,2024-04-30 19:00:00
CMP-00002,Incorrect charge of ₹3115 on my invoice,Billing Issues,Medium,Resolved,Agent_G,2024-04-22 14:00:00,2024-04-24 14:00:00,2024-04-22 15:00:00
CMP-00003,App keeps crashing when I try to download,Technical Problems,Low,Resolved,Agent_E,2024-01-23 23:00:00,2024-01-26 23:00:00,2024-01-24 15:00:00
CMP-00004,Service outage in my area since last week,Service Disruption,High,Open,,2024-04-26 09:00:00,2024-04-27 09:00:00,
CMP-00005,Defective keyboard received in last order,Product Defects,Medium,Assigned,Agent_B,2024-11-07 20:00:00,2024-11-09 20:00:00,
CMP-00006,Order #18675 delayed by 5 days,Delivery Delays,Medium,In Progress,Agent_A,2024-04-27 01:00:00,2024-04-29 01:00:00,
CMP-00007,Service outage in my area since last week,Service Disruption,High,In Progress,Agent_H,2024-03-14 08:00:00,2024-03-15 08:00:00,
CMP-00008,Defective monitor received in last order,Product Defects,Medium,Closed,Agent_H,2024-02-16 01:00:00,2024-02-18 01:00:00,2024-02-18 21:00:00
CMP-00009,Order #24621 delayed by 6 days,Delivery Delays,High,Open,,2025-01-04 03:00:00,2025-01-05 03:00:00,
CMP-00010,Cannot login to my account,Account Issues,Medium,Pending Customer Response,Agent_C,2024-09-16 03:00:00,2024-09-18 03:00:00,
